episode_id,scene,seed,snapshot_id,budget,state_roi_pixels,command_roi_pixels,roi_intersection_pixels,roi_union_pixels,roi_jaccard,roi_xor_pixels,roi_xor_fraction,state_selected_tiles,command_selected_tiles,tile_intersection,tile_union,tile_jaccard,tile_xor_count,tile_xor_fraction,quality_xor_tiles,quality_xor_fraction,identical_reconstruction
m6a_v3_formal_s1_seed630102,S1,630102,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630102,S1,630102,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,1,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,1,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,1,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,1,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s1_seed630103,S1,630103,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,1,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630200,S2,630200,1,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630200,S2,630200,1,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,1,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630200,S2,630200,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,1,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630201,S2,630201,1,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,1,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,1,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630201,S2,630201,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630201,S2,630201,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,1,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,1,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,1,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,1,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630202,S2,630202,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,48,1.0,0
m6a_v3_formal_s2_seed630202,S2,630202,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630202,S2,630202,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
